Original row	rang	immuno_gene	Significance	fdr	NASH_gene	Score (d)	Numerator (r)	Denominator (s+s0)	Fold Change	Healthy Obese1	Healthy Obese2	Healthy Obese3	Healthy Obese4	Healthy Obese5	Healthy Obese6	Healthy Obese7	Healthy Obese8	Healthy Obese9	Healthy Obese10	Healthy Obese11	Healthy Obese12	Healthy Obese13	Healthy Obese14	Healthy Obese15	Healthy Obese16	Healthy Obese17	Healthy Obese18	Healthy Obese19	Healthy Obese20	Healthy Obese21	Healthy Obese22	Healthy Obese23	Healthy Obese24	NASH1	NASH2	NASH3	NASH4	NASH5	NASH6	NASH7	NASH8	NASH9	NASH10	NASH11	NASH12	NASH13	NASH14	NASH15	NASH16	NASH17	NASH18	NASH19	NASH20	NASH21	NASH22	NASH23	NASH24
286	263	SPP1	1.077282e-02	0.031745016	SPP1	5.8570232	1.7660394	0.3015251	3,4661913	6.999127	9.079398	7.019811	6.6417575	6.740756	5.670749	6.6217785	6.849988	7.84892	6.4073195	5.6919627	7.037357	5.8400326	5.3753023	7.719496	6.213584	6.3862357	7.234358	5.845706	6.2940397	8.394189	5.983518	6.9575424	6.503413	7.495165	7.8569665	6.883297	6.9502263	9.193825	9.575652	8.64956	9.994201	9.574893	7.7810483	7.379797	8.795137	9.079371	9.516188	7.926659	10.179212	6.1517315	9.131614	7.769044	8.404439	8.790034	9.397624	7.984885	9.280727
51	208	CD24	6.400066e-03	0.023846399	CD24	4.6502786	1.1074724	0.23815185	2,7749836	4.39091	5.5361648	5.761451	4.7429547	5.5407968	5.441457	4.7985873	4.837141	5.714489	4.595459	5.2258444	5.1205096	4.264831	3.9169765	5.1454573	4.4789925	4.838137	5.364349	4.8728986	4.6589684	4.909223	4.5523243	4.7452173	5.1676025	6.246539	6.883837	5.3683133	5.036233	6.0069356	5.6964855	5.6294518	8.169959	5.7314982	5.5189204	5.167944	9.025912	4.8871884	6.496792	5.7871203	7.14384	5.36301	5.2540603	5.96529	5.9497857	5.473226	5.971083	6.071579	6.3550987
261	279	PTGS2	1.217065e-02	0.033730241	PTGS2	2.0025272	0.68739367	0.3432631	2,740604	5.372923	7.124227	5.5446863	5.075273	5.1019473	5.2409024	6.5474286	5.2847157	4.50664	5.391704	5.900626	5.0501637	4.87863	4.785998	5.8596334	4.560848	5.6018586	4.589225	4.9488645	4.9239583	7.515184	5.5359445	4.79524	4.780607	5.3054166	10.304936	7.405605	4.805803	7.111149	5.227864	5.066194	4.9371	5.669754	9.227587	4.8143206	5.000928	6.7576313	5.5787168	5.5824423	7.0408616	5.018685	5.819368	6.5488667	4.829062	5.6422205	5.3216386	6.2235637	6.174967
227	190	MMP9	5.559706e-03	0.022677749	MMP9	5.5452175	1.2217469	0.22032444	2,664983	3.8995702	5.3667874	3.9904904	4.708795	4.0055056	3.9474325	4.008111	4.1741724	4.2676916	4.4506984	4.305969	4.0165677	3.9669573	3.678045	4.664965	4.0082116	4.5163293	4.742835	3.8566332	3.9629476	4.804108	3.7832105	3.9415827	4.264401	4.104412	5.424163	6.2347155	4.4246197	6.084881	6.591655	4.5036793	3.7573087	6.437294	7.014761	4.2082005	5.8399153	6.189996	5.741939	6.274013	5.5470057	4.5812764	5.3317485	5.870137	4.7728477	5.4762487	6.509985	4.7103405	5.022801
99	46	CXCL10	4.861863e-04	0.008079161	CXCL10	5.032995	1.2822175	0.25476232	2,4148982	4.990921	6.8541436	6.2270913	7.103467	5.5304437	6.0011654	6.928072	5.1143494	6.1422453	6.3410296	5.977511	5.4840302	6.268062	6.1266756	7.1013255	7.370399	5.663703	5.3012614	7.0945654	8.220627	6.816166	7.367127	5.922336	6.900646	6.321215	7.197606	5.7435293	7.4183154	7.584065	7.2122254	6.8687754	7.0182652	7.7721786	7.447728	8.675044	8.780616	7.871342	7.546385	9.2086735	8.207517	7.6237116	8.677181	7.832907	6.920566	7.0384293	7.9899206	7.927226	8.737173
82	319	CHI3L1	1.702960e-02	0.041372842	CHI3L1	3.5199363	1.5088277	0.428652	2,231184	6.963671	8.440326	8.193055	11.059545	6.7202883	8.862057	7.4587703	8.835297	6.3652587	4.833298	6.13076	5.821166	8.878421	6.330028	7.1842647	5.5099225	5.6378107	8.122165	5.5325737	5.2454643	6.182956	5.9399695	7.7214446	8.908265	11.12705	8.993287	7.0565944	8.832346	9.639511	8.595768	8.398453	10.997616	8.400901	7.796431	7.794901	7.309552	8.097367	8.895674	10.403912	9.664102	6.9350543	7.953152	8.653277	9.711579	6.3342013	7.309592	7.8956757	10.292637
177	206	IL32	6.360307e-03	0.023846399	IL32	6.0911684	1.1727605	0.19253457	2,1450753	8.277082	8.929802	8.328598	8.4602785	6.978741	8.195614	7.1395245	8.445282	7.7587285	6.6629286	8.067384	7.7117968	8.066591	7.370131	8.034765	9.308053	6.7791333	7.6674037	8.287404	9.034971	8.34391	7.783977	7.821398	7.363078	8.994978	9.563544	7.553312	8.320745	9.592297	9.288874	8.651831	9.080891	9.540423	8.978345	9.119955	9.478478	9.248141	9.395731	9.312544	9.513918	9.102417	8.949975	8.873694	8.822673	9.415472	9.227808	8.725004	10.211771
298	240	THY1	8.634324e-03	0.027881672	THY1	3.8878458	0.74940825	0.19275668	1,8011867	4.517488	6.109569	4.559165	6.0607953	5.248923	4.53541	4.615248	5.280919	5.524211	5.054878	5.055017	4.8953996	4.9664783	4.489948	4.715513	4.986072	4.763387	5.4461007	4.6942487	5.246876	5.7379537	5.289522	5.283219	5.443499	5.228375	6.2339454	5.016604	5.22585	5.481023	5.0883875	6.4213147	6.8011518	6.956183	5.0340405	5.087118	6.73581	5.2481823	7.2933354	6.34731	6.0555954	4.9694285	6.528603	6.1423974	5.654683	5.588635	5.3499923	5.5474353	6.470211
270	173	S100A9	4.309494e-03	0.019305536	S100A9	2.3736246	0.5391245	0.22713132	1,7933974	5.4504957	7.042991	5.422589	5.8124995	5.170155	5.0745864	5.84114	5.619817	5.6461263	6.1251597	5.699154	5.2594967	4.8716793	5.4398017	5.5178585	5.670362	5.816386	5.0196104	5.37765	5.6368585	5.379849	5.136739	4.9242835	5.4635925	5.319291	7.9827356	7.0628986	5.4367785	7.200035	5.752348	5.3989487	5.0690923	6.0166593	8.849656	6.309166	5.2070947	5.475122	5.5224032	5.2439127	6.2139416	5.792632	6.238149	6.270417	5.4238663	6.0125065	5.718168	6.232407	5.6096473
28	93	CCL20	1.437609e-03	0.011980077	CCL20	3.1885808	0.8758292	0.27467683	1,7759378	3.2871473	6.77845	2.9496257	3.4769325	3.5031922	3.4690835	4.3284664	3.4840033	4.092771	4.105912	3.2631807	3.5983167	2.9086742	3.2744012	4.132371	3.1819115	3.4135773	3.777412	3.2087219	3.4720736	5.212632	3.327001	3.4570546	3.4862647	4.5817833	6.6306796	3.658894	3.671266	6.1602693	4.2443256	3.3363917	4.85351	5.6793356	4.316168	4.332384	5.879599	5.1414976	4.7522216	4.283202	4.6195846	3.167673	5.668912	4.0350184	3.5137541	3.6393552	3.7635138	4.777286	5.502454
